opcode_hex,signed_opcode,if_off,likely_handler,calls
0x8146,-32442,0x0690,"000694:invoke-static v11, LscriptPages/data/g;->a3(Ljava/lang/String;)V","000694:invoke-static v11, LscriptPages/data/g;->a3(Ljava/lang/String;)V"
0x8147,-32441,0x06a2,"0006a6:invoke-static v11, LscriptPages/gameHD/i;->a(Ljava/lang/String;)V","0006a6:invoke-static v11, LscriptPages/gameHD/i;->a(Ljava/lang/String;)V"
0x8148,-32440,0x0768,"00076c:invoke-static v11, LscriptPages/game/k0;->T(Ljava/lang/String;)V","00076c:invoke-static v11, LscriptPages/game/k0;->T(Ljava/lang/String;)V"
0x8149,-32439,0x077a,"00077e:invoke-static v11, LscriptPages/gameHD/k;->I(Ljava/lang/String;)V","00077e:invoke-static v11, LscriptPages/gameHD/k;->I(Ljava/lang/String;)V"
0x814a,-32438,0x06b4,"0006b8:invoke-static v11, Lo/a;->L7(Ljava/lang/String;)V","0006b8:invoke-static v11, Lo/a;->L7(Ljava/lang/String;)V"
0x814b,-32437,0x0732,"000736:invoke-static v11, LscriptPages/game/n;->l2(Ljava/lang/String;)V","000736:invoke-static v11, LscriptPages/game/n;->l2(Ljava/lang/String;)V"
0x814c,-32436,0x0744,"000748:invoke-static v11, LscriptPages/gameHD/k;->R(Ljava/lang/String;)V","000748:invoke-static v11, LscriptPages/gameHD/k;->R(Ljava/lang/String;)V"
0x814d,-32435,0x0756,"00075a:invoke-static v11, LscriptPages/game/n;->m2(Ljava/lang/String;)V","00075a:invoke-static v11, LscriptPages/game/n;->m2(Ljava/lang/String;)V"
0x814e,-32434,0x06c6,"0006ca:invoke-static v11, Lo/a;->P7(Ljava/lang/String;)V","0006ca:invoke-static v11, Lo/a;->P7(Ljava/lang/String;)V"
0x814f,-32433,0x078c,"000790:invoke-static v11, LscriptPages/game/w;->j0(Ljava/lang/String;)V","000790:invoke-static v11, LscriptPages/game/w;->j0(Ljava/lang/String;)V"
0x8150,-32432,0x16ec,"0016f0:invoke-static v11, LscriptPages/game/g0;->f(Ljava/lang/String;)V","0016f0:invoke-static v11, LscriptPages/game/g0;->f(Ljava/lang/String;)V"
0x8152,-32430,0x16fe,"001702:invoke-static v11, LscriptPages/game/g0;->h(Ljava/lang/String;)V","001702:invoke-static v11, LscriptPages/game/g0;->h(Ljava/lang/String;)V"
0x8160,-32416,0x0a8a,"000a8e:invoke-static v11, LscriptPages/game/k0;->S(Ljava/lang/String;)V","000a8e:invoke-static v11, LscriptPages/game/k0;->S(Ljava/lang/String;)V"
0x8170,-32400,0x079e,"0007a2:invoke-static v11, LscriptPages/game/n0;->P(Ljava/lang/String;)V","0007a2:invoke-static v11, LscriptPages/game/n0;->P(Ljava/lang/String;)V"
0x8172,-32398,0x07b0,"0007b4:invoke-static v11, LscriptPages/game/n0;->I(Ljava/lang/String;)V","0007b4:invoke-static v11, LscriptPages/game/n0;->I(Ljava/lang/String;)V"
0x8174,-32396,0x07c2,"0007c6:invoke-static v11, LscriptPages/game/n0;->H(Ljava/lang/String;)V","0007c6:invoke-static v11, LscriptPages/game/n0;->H(Ljava/lang/String;)V"
0x8176,-32394,0x07d4,"0007d8:invoke-static v11, LscriptPages/game/n0;->F(Ljava/lang/String;)V","0007d8:invoke-static v11, LscriptPages/game/n0;->F(Ljava/lang/String;)V"
0x8177,-32393,0x07e6,"0007ea:invoke-static v11, LscriptPages/game/n0;->L(Ljava/lang/String;)V","0007ea:invoke-static v11, LscriptPages/game/n0;->L(Ljava/lang/String;)V"
0x8178,-32392,0x07f8,"0007fc:invoke-static v11, LscriptPages/game/n0;->Q(Ljava/lang/String;)V","0007fc:invoke-static v11, LscriptPages/game/n0;->Q(Ljava/lang/String;)V"
0x8179,-32391,0x080a,"00080e:invoke-static v11, LscriptPages/game/q0;->P1(Ljava/lang/String;)V","00080e:invoke-static v11, LscriptPages/game/q0;->P1(Ljava/lang/String;)V"
0x817a,-32390,0x081c,"000820:invoke-static v11, LscriptPages/game/n0;->R(Ljava/lang/String;)V","000820:invoke-static v11, LscriptPages/game/n0;->R(Ljava/lang/String;)V"
0x8180,-32384,0x1878,"00187c:invoke-static v11, LscriptPages/game/i0;->v(Ljava/lang/String;)V","00187c:invoke-static v11, LscriptPages/game/i0;->v(Ljava/lang/String;)V"
0x8182,-32382,0x188a,"00188e:invoke-static v11, LscriptPages/game/i0;->s(Ljava/lang/String;)V","00188e:invoke-static v11, LscriptPages/game/i0;->s(Ljava/lang/String;)V"
0x8184,-32380,0x189c,"0018a0:invoke-static v11, LscriptPages/game/i0;->u(Ljava/lang/String;)V","0018a0:invoke-static v11, LscriptPages/game/i0;->u(Ljava/lang/String;)V"
0x8186,-32378,0x18ae,"0018b2:invoke-static v11, LscriptPages/game/i0;->z(Ljava/lang/String;)V","0018b2:invoke-static v11, LscriptPages/game/i0;->z(Ljava/lang/String;)V"
0x8188,-32376,0x18c0,"0018c4:invoke-static v11, LscriptPages/game/i0;->w(Ljava/lang/String;)V","0018c4:invoke-static v11, LscriptPages/game/i0;->w(Ljava/lang/String;)V"
0x818a,-32374,0x18d2,"0018d6:invoke-static v11, LscriptPages/game/i0;->x(Ljava/lang/String;)V","0018d6:invoke-static v11, LscriptPages/game/i0;->x(Ljava/lang/String;)V"
0x818b,-32373,0x18e4,"0018e8:invoke-static v11, LscriptPages/game/i0;->t(Ljava/lang/String;)V","0018e8:invoke-static v11, LscriptPages/game/i0;->t(Ljava/lang/String;)V"
0x8190,-32368,0x06d8,"0006dc:invoke-static v11, LscriptPages/game/s0;->Y(Ljava/lang/String;)V","0006dc:invoke-static v11, LscriptPages/game/s0;->Y(Ljava/lang/String;)V"
0x8192,-32366,0x06ea,"0006ee:invoke-static v11, LscriptPages/game/s0;->X(Ljava/lang/String;)V","0006ee:invoke-static v11, LscriptPages/game/s0;->X(Ljava/lang/String;)V"
0x8200,-32256,0x0888,"00088c:invoke-static v11, LscriptPages/game/q;->i(Ljava/lang/String;)V","00088c:invoke-static v11, LscriptPages/game/q;->i(Ljava/lang/String;)V"
0x8201,-32255,0x089a,"00089e:invoke-static v11, LscriptPages/game/q;->j(Ljava/lang/String;)V","00089e:invoke-static v11, LscriptPages/game/q;->j(Ljava/lang/String;)V"
0x8202,-32254,0x0840,"000844:invoke-static v11, LscriptPages/game/q;->r(Ljava/lang/String;)V","000844:invoke-static v11, LscriptPages/game/q;->r(Ljava/lang/String;)V"
0x8204,-32252,0x0852,"000856:invoke-static v11, LscriptPages/game/q;->b0(Ljava/lang/String;)V","000856:invoke-static v11, LscriptPages/game/q;->b0(Ljava/lang/String;)V"
0x8206,-32250,0x0864,"000868:invoke-static v11, LscriptPages/game/q;->e(Ljava/lang/String;)V","000868:invoke-static v11, LscriptPages/game/q;->e(Ljava/lang/String;)V"
0x8208,-32248,0x08ac,"0008b0:invoke-static v11, LscriptPages/game/q;->f(Ljava/lang/String;)V","0008b0:invoke-static v11, LscriptPages/game/q;->f(Ljava/lang/String;)V"
0x820b,-32245,0x08be,"0008c2:invoke-static v11, LscriptPages/game/q;->Z1(Ljava/lang/String;)V","0008c2:invoke-static v11, LscriptPages/game/q;->Z1(Ljava/lang/String;)V"
0x820d,-32243,0x08d0,"0008d4:invoke-static v11, LscriptPages/game/q;->c(Ljava/lang/String;)V","0008d4:invoke-static v11, LscriptPages/game/q;->c(Ljava/lang/String;)V"
0x820f,-32241,0x082e,"000832:invoke-static v11, LscriptPages/game/q;->X(Ljava/lang/String;)V","000832:invoke-static v11, LscriptPages/game/q;->X(Ljava/lang/String;)V"
0x8210,-32240,0x0876,"00087a:invoke-static v11, LscriptPages/game/q;->V(Ljava/lang/String;)V","00087a:invoke-static v11, LscriptPages/game/q;->V(Ljava/lang/String;)V"
0x8212,-32238,0x0972,"000976:invoke-static v11, LscriptPages/game/q;->W(Ljava/lang/String;)V","000976:invoke-static v11, LscriptPages/game/q;->W(Ljava/lang/String;)V"
0x8213,-32237,0x0984,"000988:invoke-static v11, LscriptPages/game/q;->Y(Ljava/lang/String;)V","000988:invoke-static v11, LscriptPages/game/q;->Y(Ljava/lang/String;)V"
0x8214,-32236,0x0a4a,"000a4e:invoke-static v11, LscriptPages/game/z;->O(Ljava/lang/String;)V","000a4e:invoke-static v11, LscriptPages/game/z;->O(Ljava/lang/String;)V"
